id,commun,sujet_perso,verbale,nominale,part_motif,adverbe_neg,weight,info,coupable,victime,genre,nombre
284,{ .info.lieu = Lieu(pays) },,"{ .a(participé,participer,participerai,participeras,participera,participeront,participerez,participeront) } à la version { .info.lieu.adj(F,S) } de RuPaul’s Drag Race","{ .s_comp(la ,participation) } à la version { .info.lieu.adj(F,S) } de RuPaul’s Drag Race",,,10,130,,,F,S
285,{ .info.lieu = Lieu[3] },,"{ .a(participé,participer,participerai,participeras,participera,participeront,participerez,participeront) } à RuPaul’s Drag Race","{ .s_comp(la ,participation) } à RuPaul’s Drag Race",,,10,130,,,F,S
293,,,"{ .objet.cod({ .a(plagié,plagier,plagie,plagies,plagie,plagions,plagiez,plagient) }) }","{ .s_comp(le ,plagiat) } sur { .objet.tonique }",,,10,,sujet,objet,M,S
294,,,"{ .sujet.se({ .est(fait{ .sujet.es },faire,fais,fais,fait,faisons,faisez,font) }) } plagier par { .objet.tonique }","{ .s_comp(le ,plagiat) } par { .objet.tonique }",,,10,,objet,sujet,M,S
296,,,"{ .a(donné,donner,donne,donnes,donne,donnons,donnez,donnent) } { .info.somme }euros (au|lors du) Zevent","{ .s_comp(le ,don de { .info.somme }euros) } au ZEvent",,,10,134,,,M,S
302,,,"{ .a(été,être,serai,seras,sera,serons,serez,seront) } présent{ .sujet.es } à la Japan Expo",{ .sujet.comp(la présence) } à la Japan Expo,,,2,138,,,F,S
306,,,"{ .est(devenu{ .sujet.es },devenir,deviens,deviens,devient,devenons,devenez,deviennent) } { .sujet.gn(le premier youtubeur,la première youtubeuse,les premiers youtubeurs,les premières youtubeuses) } au monde",{ .sujet.comp(le record mondial d’abonnés sur YouTube) },,,2,140,,,M,S
307,,,"{ .est(devenu{ .sujet.es },devenir,deviens,deviens,devient,devenons,devenez,deviennent) } { .sujet.gn(le youtubeur,la youtubeuse,les youtubeurs,les youtubeuses) } numéro{ .sujet.s } 1",{ .sujet.comp(le record d’abonnés sur YouTube) },,,2,140,,,M,S
308,"{ .info.lieu = Lieu(pays,region,etat,departement) }",,"{ .est(devenu{ .sujet.es },devenir,deviens,deviens,devient,devenons,devenez,deviennent) } { .sujet.gn(le premier youtubeur,la première youtubeuse,les premiers youtubeurs,les premières youtubeuses) } { .info.lieu.comp_explicite }",{ .sujet.comp(le record d’abonnés sur YouTube) } { .info.lieu.loc_explicite },,,2,140,,,M,S
310,,,"{ .est(devenu{ .sujet.es },devenir,deviens,deviens,devient,devenons,devenez,deviennent) } { .sujet.gn(père,mère,parents,mamans) } { .info.de }",la naissance { .sujet.comp({ .info.de }) },,,10,142,,,F,S
311,,,"{ .est(devenu{ .sujet.es },devenir,deviens,deviens,devient,devenons,devenez,deviennent) } { .sujet.gn(papa,maman,parents,mamans) } { .info.de }",la naissance { .sujet.comp({ .info.de }) },,,10,142,,,F,S
314,,,"{ .a(organisé,organiser) } des dînes privés aux frais de l’État",{ .s(l’) }organisation de dîners privés aux frais de l’État{ .s( par { .sujet.tonique }) },,,10,,sujet,,F,S
315,,,{ .etre } porté{ .sujet.es } disparu{ .sujet.es },{ .sujet.comp(la disparition) },,,10,145,,sujet,F,S
320,,,"{ .a(mangé,manger,mange,manges,mange,mangeons,mangez,mangent) } tout le sable de Metz Plage",{ .s(la ) }consommation du sable de Metz Plage{ .s( par { .sujet.tonique }) },,,10,,sujet,,F,S
322,,,"{ .objet.coi({ .a(fait,faire,fais,fais,fait,faisons,faisez,font) } un don { .info.somme }euros) }","{ .s_comp(le ,don { .info.somme }euros) } { .objet.coi_explicite }",,,10,150,sujet,,M,S
323,,,"{ .etre } mis{ .sujet.gn(,e,,es) } en examen","{ .s_comp(la ,mise en examen) }",{ .pour_motif }|{ .dans_le_cadre_de_motif },,10,151,sujet,,F,S
324,{ .objet ||= .info.acteur },,{ .etre } cancelled par { .objet.tonique },{ .sujet.comp(le call-out) } par { .objet.tonique },{ .pour_motif },,10,152,objet,sujet,M,S
325,,,"{ .objet.cod({ .a(call-out,dénoncer) }) }","{ .s({ .objet.comp(le call-out) } par { .sujet.tonique },call-out { .objet.comp_explicite }) }",{ .pour_motif_nominal }|{ .parce_que_motif },,10,153,sujet,objet,M,S
330,,,"{ .a(lancé,lancer,lance,lances,lance,lançons,lancez,lancent) } une cagnotte pour { .objet.cod(libérer) }",{ .sujet.comp(la cagnotte) } en soutien { .objet.coi_explicite },"qui { .info.motif.val(victime: { action330objet = .objet } action330objet, temps: (simple|passe), mettre_sujet: false) }",,10,157,,,F,S
331,,,"{ .a(lancé,lancer,lance,lances,lance,lançons,lancez,lancent) } une cagnotte pour { .objet.cod(aider) }",{ .sujet.comp(la cagnotte) } en soutien { .objet.coi_explicite },"qui { .info.motif.val(victime: { action331objet = .objet } action331objet, temps: (simple|passe), mettre_sujet: false) }",,10,157,,,F,S
332,,,"{ .a(slidé,slider,slide,slides,slide,slidons,slidez,slident) } dans { .objet.comp(les DMs) }","{ .s_comp(les ,DMs) } envoyés { .objet.coi_explicite }",,,10,,sujet,objet,M,P
333,,,"{ .a(appelé,appeler,appelle,appelles,appelle,appelons,appelez,appellent) } à tirer à balles réelles sur { .objet.tonique }","{ .s_comp(l’,appel) } à tirer à balles réelles sur { .objet.tonique }",{ .pour_motif_nominal }|{ .parce_que_motif },,10,159,sujet,objet,M,S
335,,,"{ .a(fait,faire,fais,fais,fait,faisons,faites,font) } { .sujet.comp_implicite(le coming out emo}) }",{ .sujet.comp(le coming out emo) },,,10,42,,,M,S
336,,,"{ .sujet.se({ .est(suicidé,suicider,suicide,suicides,suicide,suicidons,suicidez,suicident) }) } de deux balles dans la nuque","{ .s_comp(le ,suidice) } par deux balles dans la nuque",,,10,,,sujet,M,S
339,,,"{ .a(rejoint,rejoindre,rejoins,rejoins,rejoint,rejoignons,rejoignez,rejoignent) } l’(équipe de Pascal Praud|Heure des Pros)( sur CNEWS)?",{ .sujet.comp(l’arrivée) } dans l’Heure des Pros( sur CNEWS)?,,,10,164,,,F,S
340,,,"{ .a(rejoint,rejoindre,rejoins,rejoins,rejoint,rejoignons,rejoignez,rejoignent) } l(’équipe d)?es Grandes Gueules( sur RMC)?",{ .sujet.comp(l’arrivée) } dans les Grandes Gueules( sur RMC)?,,,10,165,,,F,S
341,,,"{ .a(rejoint,rejoindre,rejoins,rejoins,rejoint,rejoignons,rejoignez,rejoignent) } l(’équipe d)?es Grosses Têtes( sur RTL)?",{ .sujet.comp(l’arrivée) } dans les Grosses Têtes( sur RTL)?,,,10,166,,,F,S
342,,,"{ .a(décidé,décider,décide,décides,décide,décidons,décidez,décident) } de nous c(a|*)sser( encore)? les { h }couilles avec le { h }voile",{ .s(la ) }polémique{ .s( lancée par { .sujet.tonique }) } sur le voile,,,10,167,sujet,,F,S
345,,,"{ .a(animé,animer,animerai,animeras,animera,animerons,animerez,animeront) } une émission de débat sur ({ .info.chaine.nom }|#{ .info.chaine.pascal_case })",{ .sujet.comp(la nouvelle émission de débat) } sur { .info.chaine },,,10,168,,,F,S
347,,,"{ .a(remporté,remporter,remporte,remportes,remporte,remportons,remportez,remportent) } le Grammy { .info.categorie }",la victoire du Grammy { .info.categorie }{ .s( par { .sujet.tonique }) },,,10,169,,,F,S
349,,,"{ .a(remporté,remporter,remporte,remportes,remporte,remportons,remportez,remportent) } la victoire { .info.categorie }",la Victoire { .info.categorie }{ .s( remportée par { .sujet.tonique }) },,,10,170,,,F,S
352,,,"{ .a(décidé,décider,décide,décides,décide,décidons,décidez,décident) } de reconstruire { Lieu[102].comp(le mur) }",{ .s(la ) }reconstruction { Lieu[102].comp(du mur) }{ .s( par { .sujet.tonique }) },,,10,171,sujet,,F,S
353,,,"{ .a(fait,faire,fais,fais,fait,faisons,faites,font) } { .sujet.comp_implicite(le coming out { .sujet.gn(sorcier,sorcière,sorciers,sorcières) }) }","{ .sujet.comp(le coming out { .sujet.gn(sorcier,sorcière,sorciers,sorcières) }) }",,,2,42,,,M,S
354,,,{ .etre } déguisé{ .sujet.es } en hamburger sur NRJ,"{ .s_comp(le ,déguisement en hamburger) } sur NRJ",,,10,172,,,M,S
356,"{ .photo = .sujet.gn(une (dickpic|photo de son pénis),une (nude|photo intime),des (nudes|photos intimes),des (nudes|photos intimes)) }",,"{ .a(posté,poster,poste,postes,poste,postons,postez, postent,accidentellement) } { .photo }","{ .s(la ) }publication accidentelle { .s_comp(,{ .photo }) }",,,10,174,,sujet,F,S
363,,,"{ .a(appelé,appeler,appelle,appelles,appelle,appelons,appelez,appellent) } à la grève( générale)?","{ .s_comp(l’,appel) } à la grève( générale)?",,,10,177,sujet,,M,S
369,,"{ action369sujet = .sujet; gn(action369sujet,une photo { .sujet.comp(du pénis) },{ .sujet.comp(une photo (intime|dénudée)) },{ .sujet.comp(une photo (intime|dénudée)) },{ .sujet.comp(une photo (intime|dénudée)) }) }",a fuité,la fuite { .sujet.comp(de photos (dénudées|intimes)) },,,10,180,,sujet,F,S
373,,,"{ .a(provoqué,provoquer,provoque,provoques,provoque,provoquons,provoquez,provoquent,accidentellement) } la 3e Guerre mondiale",{ .s(la ) }provocation (accidentelle )?de la 3e Guerre mondiale{ .s( par { .sujet.tonique }) },,,10,182,sujet,,F,S
374,,,{ .etre } banni{ .sujet.es } de Twitch,"{ .s_comp(le ,bannissement de Twitch) }",{ .pour_motif },,10,183,,sujet,M,S
376,,,"{ .etre } testé{ .sujet.es } positi{ .sujet.gn(f,ve,fs,ves) } au variant { .info.variant }",{ .sujet.comp(la contaminaton au variant { .info.variant }) },,,10,185,,sujet,F,S
377,,,{ .etre } mis{ .sujet.es } en quarantaine à cause du Covid-19,{ .sujet.comp(la mise en quarantaine) } à cause du Covid-19,,,10,186,,sujet,F,S
384,,,{ .etre } emprisonné{ .sujet.es },"{ .s_comp(l’,emprisonnement) }",{ .pour_motif },,10,190,sujet,,M,S
386,{ .parti = Orga(parti) },,"{ .etre } candidat{ .sujet.es } { .parti.adj({ .sujet.genre },{ .sujet.nombre }) } à { .info.lieu.comp(la mairie) }","{ .s_comp(la ,candidature { .parti.sigle }) } à la mairie { .info.lieu.comp_explicite }",,,10,68,,,F,S
387,,,"{ .objet.cod({ .a(expulsé,expulser,expulse,expulses,expulse,expulsons,expulsez,expulsent) }) } de { .sujet.comp(l’île) }","{ .objet.comp(l’expulsion) } de { .s_comp(,l’île) }",{ .parce_que_motif }|{ .pour_motif_nominal },,10,191,sujet,objet,F,S
389,,,"{ .sujet.se({ .est(lancé{ .sujet.es },lancer,lance,lances,lance,lançons,lancez,lancent) }) } sur Twitch",{ .sujet.comp(l’arrivée sur Twitch) },,,10,192,,,F,S
390,,,"{ .sujet.se({ .est(lancé{ .sujet.es },lancer,lance,lances,lance,lançons,lancez,lancent) }) } sur OnlyFans",{ .sujet.comp(l’arrivée) } sur OnlyFans,,,10,193,,,F,S
391,,,"{ .a(créé,créer,crée,crées,crée,créons,créez,créent) } { .sujet.comp_implicite(le compte OnlyFans) }",la création { .sujet.comp(du compte OnlyFans) },,,10,193,,,F,S
392,,,{ .etre } pris{ .sujet.es } à parti dans la rue par { .objet.tonique },{ .sujet.comp(la prise à parti) } par { .objet.tonique },"qui { .sujet.cod({ .objet.pn(accuse,accuses,accuse,accusons,accusez,accusent) }) } { m = .info.motif.val(coupable: { action392sujet = .sujet } action392sujet, victime: { action392objet = .objet } action392objet, temps: infinitif_passe, mettre_sujet: false); voy({ m },d’{ m },de { m }) }",,10,194,objet,sujet,F,S
393,,,"{ .a(collaboré,collaborer,collabore,collabores,collabore,collaborons,collaborez,collaborent) } avec { .objet.tonique }",la collaboration entre { .sujet.tonique } et { .objet.tonique },,,10,195,,,F,S
397,,,"{ .a(chuté,chuter,chute,chutes,chute,chutons,chutez,chutent) } des escaliers au Met Gala",{ .sujet.comp(la chute des escaliers) } au Met Gala,,,10,199,,sujet,F,S
401,,,"{ .a(rejoint,rejoindre,rejoins,rejoins,rejoint,rejoignons,rejoignez,rejoignent) } (l’équipe de )Touche Pas à Mon Poste",{ .sujet.comp(l’arrivée) } dans Touche Pas à Mon Post,,,10,201,,,F,S
403,,,"{ .a(décidé,décider,décide,décides,décide,décidons,décidez,décident) } d’interdire { h }TikTok",{ .s(l’) }interdiction de { h }TikTok{ .s( par { .sujet.tonique }) },,,10,202,sujet,,F,S
404,,,"{ .a(décidé,décider,décide,décides,décide,décidons,décidez,décident) } de bannir { h }TikTok",{ .s(l’) }interdiction de { h }TikTok{ .s( par { .sujet.tonique }) },,,10,202,sujet,,F,S
405,,,{ .etre } en couple avec { .objet.tonique },la liaison amoureuse entre { .sujet.tonique } et { .objet.tonique },,,3,203,,,F,S
406,,,"{ .a(dévoilé,dévoiler,dévoile,dévoiles,dévoile,dévoilons,dévoilez,dévoilent) } son couple avec { .objet.tonique }",la liaison amoureuse entre { .sujet.tonique } et { .objet.tonique },,,3,203,,,F,S
407,,,"{ .a(dévoilé,dévoiler,dévoile,dévoiles,dévoile,dévoilons,dévoilez,dévoilent) } sa relation avec { .objet.tonique }",la relation entre { .sujet.tonique } et { .objet.tonique },,,4,203,,,F,S
408,,,"{ .a(annoncé,annoncer,annonce,annonces,annonce,annonçons,annoncez,annoncent) } { .info.lieu.comp(la refondation) }",{ .info.lieu.comp({ .s(la ) }refondation) }{ .s( par { .sujet.tonique }) },,,5,204,sujet,,F,S
409,,,"{ .a(annoncé,annoncer,annonce,annonces,annonce,annonçons,annoncez,annoncent) } { .info.lieu.comp(le retour) }",{ .info.lieu.comp({ .s(la ) }refondation) }{ .s( par { .sujet.tonique }) },,,5,204,sujet,,F,S
412,,,"{ .sujet.se({ .est(administré,administrer,administre,administres,administre,administrons,administrez,administrent) }) } de { .sujet.g(l’estradiol,la testostérone) }","{ .s_comp(l’,administration { .sujet.g(d’estradiol,de testostérone) }) }",,,10,206,sujet,,F,S
414,,,{ .etre } banni{ .sujet.es } { .objet.comp(du (t)?chat) },"{ .s_comp(le ,bannissement { .objet.comp(du (t)?chat) }) }",{ .pour_motif },,10,207,objet,sujet,M,S
415,,,"{ .a(mutilé,mutiler,mutile,mutiles,mutile,mutilons,mutilez,mutilent) } des chevaux","{ .s_comp(l’,implication) } dans les mutilations de chevaux",,,10,,sujet,,F,S
416,,,{ .etre } à l’origine des mutilations de chevaux,"{ .s_comp(l’,implication) } dans les mutilations de chevaux",,,10,,sujet,,F,S
417,,,"{ .objet.coi({ .a(transmis,transmettre,transmets,transmets,transmet,transmettons,transmettez,transmettent) } le covid-19) }","{ .s_comp(la ,transmission du covid) } { .objet.coi_explicite }",,,10,,sujet,objet,F,S
418,{ .variant = s(delta|omicron) },,"{ .objet.coi({ .a(transmis,transmettre,transmets,transmets,transmet,transmettons,transmettez,transmettent) } le variant { .variant }) }","{ .s_comp(la ,transmission du variant { .variant }) } { .objet.coi_explicite }",,,10,,sujet,objet,F,S
419,,,{ .etre } victime{ .sujet.s } de la cancel culture( sur Twitter)?,{ .sujet.comp(le cancelling) } sur (Twitter|les réseaux sociaux),{ .pour_motif },,10,211,,sujet,M,S
540,,,{ .est(impliqué{ .sujet.es }) } dans l’affaire Bygmalion,"{ .s_comp(l’,implication) } dans l’affaire Bygmalion",,,1,,sujet,,F,S
541,,{ .sujet.comp(les comptes de campagne) },possèdent des irrégularités,{ .s(les ) }irrégularités sur { .sujet.comp(les comptes de campagne) },,,5,,sujet,,F,P
544,,,"{ Pers[2].cod({ .a(appelé,appeler,appelle,appelles,appelle,appelons,appelez,appellent) }) } “Manu”","{ .s_comp(le ,manque de respect) } { Pers[2].coi_explicite }",,,10,,sujet,,M,S
545,,,{ .est(impliqué{ .sujet.es }) } dans l’affaire Benalla,"{ .s_comp(l’,implication) } dans l’affaire Benalla",,,5,,sujet,,F,S
546,({ .acteur = Pers }|{ .acteur = Orga(parti) }|{ .acteur = Entreprise }){ .affaire = s(l’affaire { .acteur.vocatif }|l’#Affaire{ .acteur.pascal_case }|le #{ .acteur.pascal_case }Gate) },,{ .est(impliqué{ .sujet.es }) } dans { .affaire },"{ .s_comp(l’,implication) } dans { .affaire }",,,10,,sujet,,F,S
647,,,"{ .objet.cod({ .a(forcé,forcer,force,forces,force,forçons,forcez,forcent) }) } à danser le “nombolo” sur une place publique","{ .s_comp(la ,contrainte) } { .objet.coi_explicite } à danser le “ndombolo” sur une place publique",,,10,,sujet,objet,F,S
648,,,"{ .a(raté,rater,rate,rates,rate,ratons,ratez,ratent) } { .sujet.comp_implicite(le ramadan) }",{ .s(l’) }échec { .sujet.comp(du ramadan) },,,10,,sujet,,M,S
655,,,"{ .a(saboté,saboter,sabote,sabotes,sabote,sabotons,sabotez,sabotent) } un serveur Minecraft","{ .s_comp(les ,actes de sabotage sur serveur Minecraft) }",,,10,,sujet,,M,P
656,,,"{ .a(saboté,saboter,sabote,sabotes,sabote,sabotons,sabotez,sabotent) } { .objet.comp(la maison) } sur Minecraft",{ .s(le ) }sabotage de { .objet.comp(la maison) }{ .s( par { .sujet.tonique }) },,,10,,sujet,objet,M,S
657,,,"{ .a(dit,dire,dis,dis,dit,disons,dites,disent) } des gros mots","{ .s_comp(la déclaration de ,gros mots) }",,,2,,sujet,,F,S
658,,,"{ .a(juré,jurer,jure,jures,jure,jurons,jurez,jurent) } sur un serveur Minecraft chrétien","{ .s_comp(la déclaration de ,jurons sur{ .s( un) } serveur Minecraft chrétien) }",,,2,,sujet,,F,S
659,,,"{ .a(juré,jurer,jure,jures,jure,jurons,jurez,jurent) } sur Roblox","{ .s_comp(la déclaration de ,gros mots) } sur Roblox",,,2,,sujet,,F,S
664,"{ .tag = s(“{ .objet.n(je suis un{ .objet.g(,e) },nous sommes des) } enculé{ .objet.es }”) }",,"{ .a(tagué,taguer,tague,tagues,tague,taguons,taguez,taguent) } { .tag } sur { .objet.comp(la maison) }","{ .s_comp(,le tag { .tag }) } sur { .objet.comp(la maison) }",,,10,,sujet,objet,M,S
666,,,"{ .a(raté,rater,rate,rates,rate,ratons,ratez,ratent) } le #NoNutNovember","{ .s_comp(,l’échec du #NoNutNovember) }",,,10,,sujet,,M,S
667,,,"{ .a(raconté,raconter,raconte,racontes,raconte,racontons,racontez,racontent) } n’importe quoi sur Twitter","{ .s_comp(la ,déclaration d’inepties) } sur Twitter",,,10,,sujet,,M,S
668,,,"{ .a(dit,dire,dis,dis,dit,disons,dites,disent) } le N-word",{ .s(la ) }prononciation du N-word{ .s( par { .sujet.tonique }) },,,10,,sujet,,F,S
673,,,"{ .a(possédé,posséder,possède,possèdes,possède,possédons,possédez,possèdent) } du sérum physiologique","{ .s_comp(la ,possession de sérum physiologique) }",,,5,,sujet,,F,S
674,,,{ .est(laid{ .sujet.es }) },"{ .s_comp(la ,laideur) }",,,10,,sujet,,F,S
675,,,{ .est(moche{ .sujet.s }) },"{ .s_comp(la ,mocheté) }",,,10,,sujet,,F,S
676,,,"{ .a(partagé,partager,partage,partages,partage,partageons,partagez,partagent) } des fake news",{ .s(le ) }partage de fake news{ .s( par { .sujet.tonique }) },,,10,,sujet,,M,S
680,,,{ .est(problématique{ .sujet.s }) },"{ .s_comp(le ,comportement problématique) }",,,10,,sujet,,M,S
681,,,"{ .a(cassé,casser,casse,casses,casse,cassons,cassez,cassent) } des trucs","{ .s_comp(le ,cassage de trucs) }",,,10,,sujet,,M,S
686,"{ .insulte = .objet.gn(de fils de pute,d’enfant de putain,d’enfants de putains,d’enfants de putains) }",,"{ .objet.cod({ .a(traité,traiter,traite,traites,traite,traitons,traitez,traitent) }) } { .insulte }","{ .s_comp(l’,insulte { .insulte }) } envers { .objet.tonique }",,,10,,sujet,objet,F,S
688,"{ .quoi = new_acteur({ .sujet.gn(le pénis,les tétons,les parties intimes,les tétons) },{ .sujet.gn(M,M,F,M) },{ .sujet.gn(S,P,P,P) }); .ou = .sujet.g(, sur Instagram) }",,"{ .a(montré,montrer,montre,montres,montre,montrons,montrez,montrent) } { .sujet.comp_implicite({ .quoi }) }{ .ou }",{ .s(la ) }publication { .sujet.comp({ .quoi.comp_explicite }) }{ .ou },,,10,,sujet,,F,S
690,,,{ .etre } flashé{ .sujet.es } à 90 km/h en trottinette électrique,"{ .s_comp(l’,excès de vitesse) } en trottinette électrique",,,10,,sujet,,M,S
696,,,"{ .objet.cod({ .a(diffamé,diffamer,diffame,diffames,diffame,diffamons,diffamez,diffament) }) }","{ .s_comp(la ,diffamation) } envers { .objet.tonique }",,,10,,sujet,objet,F,S
698,,,"{ .objet.cod({ .a(tué,tuer,tue,tues,tue,tuons,tuez,tuent) }) }",{ .objet.comp(l’assassinat) }{ .s( par { .sujet.tonique }) },,,10,,sujet,objet,M,S
699,,,"{ .a(griefé,griefer,griefe,griefes,griefe,griefons,griefez,griefent) } { .objet.comp(la maison) } sur Minecraft",{ .s(le ) }grief de { .objet.comp(la maison) } sur Minecraft{ .s( par { .sujet.tonique }) },,,10,,sujet,objet,M,S
701,,,"{ .a(tenu,tenir,tiens,tiens,tient,tenons,tenez,tiennent) } des propos problématiques",{ .s(la ) }tenue de propos problématiques{ .s( par { .sujet.tonique }) },,,10,,sujet,,F,S
706,,,"{ .a(chanté,chanter,chante,chantes,chante,chantons,chantez,chantent) } “Fuck le 17”",{ .s(le ) }chant de “Fuck le 17”{ .s( par { .sujet.tonique }) },,,3,,sujet,,M,S
708,,,"{ .a(chanté,chanter,chante,chantes,chante,chantons,chantez,chantent) } “Fornique la Maréchaussée”",{ .s(le ) }chant de “Fornique la Maréchaussée”{ .s( par { .sujet.tonique }) },,,3,,sujet,,M,S
709,,,"{ .a(commis,commettre,commets,commets,commet,commettons,commettez,commettent) } du racisme anti-blanc","{ .s_comp(le ,racisme anti-blanc) }",,,10,,sujet,,M,S
710,,,"{ .a(raté,rater,rate,rates,rate,ratons,ratez,ratent) } le #NoPeeJanuary","{ .s_comp(l’,échec du #NoPeeJanuary) }",,,10,,sujet,,M,S
713,,,{ .etre } horny on main,"{ .s_comp(le ,pêché d’horny on main) }",,,10,,sujet,,M,S
714,,,{ .etre } horny sur { .objet.tonique },"{ .s_comp(le ,pêché d’horny sur { .objet.tonique }) }",,,10,,sujet,objet,M,S
737,,,"{ .a(fait,faire,fais,fais,fait,faisons,faites,font) } un fanart","{ .s_comp(le ,fanart) }",,,2,,sujet,,M,S
738,,,"{ .a(fait,faire,fais,fais,fait,faisons,faites,font) } un fanart de Tintin","{ .s_comp(le ,fanart de Tintin) }",,,10,,sujet,,M,S
739,"{ lui = .objet.tonique; .delui = voy({ lui },d’{ lui },de { lui }) }",,"{ .a(fait,faire,fais,fais,fait,faisons,faites,font) } un fanart { .delui }","{ .s_comp(le ,fanart { .delui }) }",,,2,,sujet,objet,M,S
740,,,"{ .objet.cod({ .a(payé,payer,paye,payes,paye,payons,payez,payent) }) } en visibilité",{ .objet.comp(le paiement en visibilité) }{ .s( par { .sujet.tonique }) },,,10,,sujet,objet,M,S
754,,,"{ .a(fait,faire,fais,fais,fait,faisons,faites,font) } une black face","{ .s_comp(la ,black face) }",,,10,,sujet,,F,S
755,,,"{ .a(porté,porter,porte,portes,porte,portons,portez,portent) } un t-shirt ahegao","{ .s_comp(le ,port { .s(d’un,de) } t-shirt ahegao) }",,,10,,sujet,,M,S
762,,,"{ .sujet.se({ .est(fait{ .sujet.es },faire,fais,fais,fait,faisons,faisez,font) }) } passer pour { .objet.tonique } sur Twitter",{ .s(l’) }usurpation de { .objet.comp(l’identité) }{ .s( par { .sujet.tonique }) },,,10,,sujet,objet,F,S
764,,,"{ .objet.coi({ .a(implanté,implanter,implante,implantes,implante,implantons,implantez,implantent) } une puce 5G) }( sans { .objet.comp_implicite(le consentement) })?","{ .s_comp(l’,implantation d’une puce 5G) } { .objet.coi_explicite }",,,10,,sujet,objet,F,S
779,,,"{ .a(time travel,time travel) } sur Animal Crossing","{ .s_comp(le ,time travel) } sur Animal Crossing",,,5,,sujet,,M,S
780,,,"{ .objet.cod({ .a(séquestré,séquestrer,séquestre,séquestres,séquestre,séquestrons,séquestrez,séquestrent) }) }",{ .objet.comp({ .s(la ) }séquestration) }{ .s( par { .sujet.tonique }) },,,10,,sujet,objet,F,S
784,,,"{ .a(volé,voler,vole,voles,vole,volons,volez,volent) } des courges à Nigloland","{ .s_comp(le ,vol de courges à Nigloland) }",,,10,,sujet,,M,S
785,,,"{ .a(défendu,défendre,défends,défends,défend,défendons,défendez,défendent) } { .sujet.comp_implicite(les convictions) }",{ .sujet.comp(les convictions) },,,10,,sujet,,F,P
788,,,"{ .a(touché,toucher,touche,touches,touche,touchons,touchez,touchent) } { .objet.comp(les pierres) }",{ raise(pas de forme nominale pour Action[788]) },,,10,,sujet,objet,M,S
789,,,"{ .a(lancé,lancer,lance,lances,lance,lançons,lancez,lancent) } une malédiction sur la Lune","{ .s_comp(le ,lancement d’une malédiction) } sur la Lune",,,10,,sujet,,M,S
790,,,"{ .a(pratiqué,pratiquer,pratique,pratiques,pratique,pratiquons,pratiquez,pratiquent) } la sorcellerie","{ .s_comp(la pratique de la ,sorcellerie) }",,,10,,sujet,,F,S
791,,,"{ .objet.coi({ .a(lancé,lancer,lance,lances,lance,lançons,lancez,lancent) } une malédiction) }","{ .s_comp(le ,lancement d’une malédiction) } sur { .objet.tonique }",,,10,,sujet,objet,M,S
792,,,"{ .sujet.se({ .est(rendu{ .sujet.es },rendre,rends,rends,rend,rendons,rendez,rendent) }) } coupable{ .sujet.s } d’actes christianophobes","{ .s_comp(les ,actes christianophobes) }",,,10,,sujet,,M,P
794,,,"{ .a(porté,porter,porte,portes,porte,portons,portez,portent) } le masque sous { .sujet.comp_implicite({ .sujet.n(le nez,les nez) }) }","{ .s_comp(le ,port du masque sous le nez) }",,,10,,sujet,,M,S
1000,{ $action1000sujet = .sujet },,"{ .a(avoué,avouer,avoue,avoues,avoue,avouons,avouez,avouent) }","{ .sujet.comp(l’aveu) } { m = .info.motif.val(coupable: $action1000sujet, forme: nominale, mettre_sujet: false); voy({ m },d’{ m },de { m }) }","{ .info.motif.val(coupable: $action1000sujet, temps: infinitif_passe) }",,10,55,,,M,S
1001,,,"{ .objet.coi({ .a(apporté,apporter,apporte,apportes,apporte,apportons,apportez,apportent) } { .sujet.comp_implicite(le soutien) }) } (aux|pour les) élections présidentielles( de 2022)?","{ .s_comp(le ,soutien) } apporté { .objet.coi_explicite } (aux|pour les) élections présidentielles( de 2022)?",,,10,102,sujet,,M,S
1002,,,{ .etre } cancelled,{ .sujet.comp(le call-out) },{ .pour_motif },,10,152,,sujet,M,S
1003,,,"{ .est(devenu{ .sujet.es },devenir,deviens,deviens,devient,devenons,devenez,deviennent) } { .info.lieu.comp({ .info.lieu.chef({ .sujet.genre },{ .sujet.nombre }) }) }",{ .sujet.comp(l’accession) } à { .info.lieu.comp(la tête) },,,10,1000,,,F,S
1004,,,"{ .a(fait,faire,fais,fais,fait,faisons,faites,font,trop) } la bamboche","{ .s_comp(l’,excès de bamboche) }",,,5,,sujet,,M,S
1005,,,"{ .a(bamboché,bambocher,bamboche,bamboches,bamboche,bambochons,bambochons,bambochez,trop) }","{ .s_comp(l’,excès de bamboche) }",,,5,,sujet,,M,S
1006,{ .avec = s(( avec { Pers.tonique })?) },,"{ .a(fait,faire,fais,fais,fait,faisons,faites,font) } la nouba{ .avec } pendant le couvre-feu","{ .s_comp(l’,organisation illégale de nouba) }{ .avec }",,,5,,sujet,,F,S
1007,,,"{ .a(interdit,interdire,interdis,interdis,interdit,interdisons,interdisez,interdisent) } les plans à (trois|3)",{ .s(l’) }interdiction des plans à (trois|3){ .s( par { .sujet.tonique }) },,,10,1001,sujet,,F,S
